"filename";"caption";"date1";"date2";"date";"date3";"agent";"role";"agent2";"role2";"copyright";"source";"empty_column";"notes";"mon_id";"class_code";"classification";"agent3";"date_scan";"license";"url";"rights_text";"heidata";"heidoc"
"SKH0140_I_001_20211228_01";"Maṇḍapa Phalcā, damaged Licchavi inscription, view from N";"";"";"2021-12-28";"";"1173885";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0140";"4027107-9";"Inschrift";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0140_P_20220330_05";"Maṇḍapa Phalcā, Kṛṣṇa Shrine, view from N";"";"";"2022-03-30";"";"1248182";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0140";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0140_P_20220330_02";"Maṇḍapa Phalcā, view from N";"";"";"2022-03-30";"";"1248182";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0140";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0140_I_003_20220330_01";"Maṇḍapa Phalcā, inscription, view from N";"";"";"2022-03-30";"";"1248182";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0140";"4027107-9";"Inschrift";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0140_P_20220330_04";"Maṇḍapa Phalcā, shrine and interiors, view from N";"";"";"2022-03-30";"";"1248182";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0140";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0140_P_20220330_03";"Maṇḍapa Phalcā, view from NW";"";"";"2022-03-30";"";"1248182";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0140";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0140_P_20220330_01";"Maṇḍapa Phalcā, view from NE";"";"";"2022-03-30";"";"1248182";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0140";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0140-001_P_20220330_01";"Maṇḍapa Phalcā, Kṛṣṇa, view from N";"";"";"2022-03-30";"";"1248182";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0140";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0140-001_P_20211228_01";"Maṇḍapa Phalcā, Kṛṣṇa, view from N";"";"";"2021-12-28";"";"1173885";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0140";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0140-001_P_20220330_02";"Maṇḍapa Phalcā, Kṛṣṇa Shrine, view from N";"";"";"2022-03-30";"";"1248182";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0140";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0140-002_P_20220330_01";"Maṇḍapa Phalcā, Rukmiṇī, view from N";"";"";"2022-03-30";"";"1248182";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0140";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0140-003_P_20220330_01";"Maṇḍapa Phalcā, Satyabhāmā, view from N";"";"";"2022-03-30";"";"1248182";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0140";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0140-005_P_20220330_01";"Maṇḍapa Phalcā, Bell, view from W";"";"";"2022-03-30";"";"1248182";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0140";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0140-004_P_20220330_01";"Maṇḍapa Phalcā, tulasī maṭha , view from N";"";"";"2022-03-30";"";"1248182";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0140";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0140_I_002_20211228_01";"Maṇḍapa Phalcā, inscription from NS 883, view from N";"";"";"2021-12-28";"";"1173885";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0140";"4027107-9";"Inschrift";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0140_P_20220406_01";"Maṇḍapa Phalcā, view from N";"";"";"2022-04-06";"";"1248182";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0140";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0140_D_2022_location_map";"Maṇḍapa Phalcā, location map";"";"";"2022-03";"";"1248182";"draftsman";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0140";"4029783-4";"Karte";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0140_D_2022_site_plan";"Maṇḍapa Phalcā, site plan";"";"";"2022-03";"";"1248182";"draftsman";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0140";"4068827-6";"Architekturzeichnung";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0140_D_2022_floor_plan";"Maṇḍapa Phalcā, floor plan";"";"";"2022-03";"";"1248182";"draftsman";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0140";"4068827-6";"Architekturzeichnung";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0140_D_2022_section";"Maṇḍapa Phalcā, section drawing";"";"";"2022-03";"";"1248182";"draftsman";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0140";"4068827-6";"Architekturzeichnung";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0123_P_20211210_01";"Brahmāyaṇī Pīṭha, view from W";"";"";"2021-12-10";"";"1248182";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0123";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0123-001_P_20211210_01";"Brahmāyaṇī Pīṭha, Lion (north), view from SW";"";"";"2021-12-10";"";"1248182";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0123";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0123-002_P_20211210_01";"Brahmāyaṇī Pīṭha, Lion (south), view from W";"";"";"2021-12-10";"";"1248182";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0123";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0123_I_001_20211210_01";"Brahmāyaṇī Pīṭha, inscription, view from W";"";"";"2021-12-10";"";"1248182";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0123";"4027107-9";"Inschrift";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0123-001_P_20220414_01";"Brahmāyaṇī Pīṭha, Lion (north) view from S";"";"";"2022-04-14";"";"1248182";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0123";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0123_I_001_20220320_01";"Brahmāyaṇī Pīṭha, inscription, view from W";"";"";"2022-03-20";"";"1248182";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0123";"4027107-9";"Inschrift";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0123_I_002_20220320_01";"Brahmāyaṇī Pīṭha, inscription on the toran, view from W";"";"";"2022-03-20";"";"1248182";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0123";"4027107-9";"Inschrift";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0123_D_2022_site_plan";"Brahmāyaṇī Pīṭha, site plan";"";"";"2022-04";"";"1248182";"draftsman";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0123";"4068827-6";"Architekturzeichnung";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0123_D_2022_location_map";"Brahmāyaṇī Pīṭha, location map";"";"";"2022-04";"";"1248182";"draftsman";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0123";"4029783-4";"Karte";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0123_P_2016_c_anonymous";"Brahmāyaṇī Pīṭha, view from W, photo anonymous";"";"";"2016";"";"1365054";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0123";"4068827-6";"Architekturzeichnung";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0123_H_2013_anonymous_01";"Brahmāyaṇī Pīṭha, view from W, photo anonymous";"";"";"2013";"";"1365054";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0123";"4068827-6";"Architekturzeichnung";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0123_D_2022_section";"Brahmāyaṇī Pīṭha, section drawing";"";"";"2022-04";"";"1248182";"draftsman";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0123";"4068827-6";"Architekturzeichnung";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0123_P_2018_c_01";"Brahmāyaṇī Pīṭha, view from W, photo anonymous";"";"";"2018";"";"1365054";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0123";"4068827-6";"Architekturzeichnung";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0123_P_20190313_01";"Brahmāyaṇī Pīṭha, view from W, photo anonymous";"";"";"2019-03-13";"";"1365054";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0123";"4068827-6";"Architekturzeichnung";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0123_P_20211110_01";"Brahmāyaṇī Pīṭha, view from W";"";"";"2021-11-10";"";"1248182";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0123";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0123_P_20220330_01";"Brahmāyaṇī Pīṭha, view from W";"";"";"2022-03-30";"";"1248182";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0123";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0123_P_20220330_02";"Brahmāyaṇī Pīṭha, view from W";"";"";"2022-03-30";"";"1248182";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0123";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0123_P_20220414_01";"Brahmāyaṇī Pīṭha, view from S";"";"";"2022-04-14";"";"1248182";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0123";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0123_P_20220414_02";"Brahmāyaṇī Pīṭha, view from S";"";"";"2022-04-14";"";"1248182";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0123";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0123_D_2022_plan";"Brahmāyaṇī Pīṭha, floor plan";"";"";"2022-04";"";"1248182";"draftsman";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0123";"4068827-6";"Architekturzeichnung";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"BKT0170_H_ca.19740000_01";"Mahākālī Pīṭha, view from NW";"";"";"1973";"1974";"1173886";"photographer";"";"";"courtesy of Carl Pruscha";"Carl Pruscha, Kathmandu Valley, 1975, vol II, p 220 (B-17)";"";"";"BKT0170";"4002855-0";"Architekturfotografie";"";"";"Free access - no reuse";"";"";"";""
"BKT0170_D__2021_elevation";"Mahākālī Pīṭha, elevation";"";"";"2021-06-17";"";"1156661";"draftsman";"";"";"Nepal Heritage Documentation Project";"";"";"";"BKT0170";"4068827-6";"Architekturzeichnung";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"BKT0170_I_009_20220128-02";"Mahākālī Pīṭha, Inscription from NS 1133 on the bell, view from Top";"";"";"2022-01-28";"";"1173868";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"BKT0170";"4027107-9";"Inschrift";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"BKT0170_D_2021_site_plan";"Mahākālī Pīṭha, site plan";"";"";"2021-06-17";"";"1156661";"draftsman";"";"";"Nepal Heritage Documentation Project";"";"";"";"BKT0170";"4068827-6";"Architekturzeichnung";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"BKT0170_P_20220128_01";"Mahākālī Pīṭha, view from W";"";"";"2022-01-29";"";"1173868";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"BKT0170";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"BKT0170_P_20220128_07";"Mahākālī Pīṭha,two pairs of Stone Lions guarding the Stairways to the main Sanctum,view from N";"";"";"2022-01-29";"";"1173868";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"BKT0170";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"BKT0170_P_20220128_03";"Mahākālī Pīṭha, Sculptures and Un-iconic Stones inside the Sanctum,view from W";"";"";"2022-01-29";"";"1173868";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"BKT0170";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"BKT0170_P_20220128_05";"Mahākālī Pīṭha, Smaller Shrines to the East of the Sanctum,view from S";"";"";"2022-01-29";"";"1173868";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"BKT0170";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"BKT0170_P_20220128_06";"Mahākālī Pīṭha, Group of Śivaliṅgas to the East of the Main Sanctum,view from E";"";"";"2022-01-29";"";"1173868";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"BKT0170";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"BKT0170_P_20220128_02";"Mahākālī Pīṭha, stairway to the main Sanctum, view from E";"";"";"2022-01-29";"";"1173868";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"BKT0170";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"BKT0170-008_20220128_01";"Mahākālī Pīṭha, Metal Lion (B) flanking the Left of the Entrance, view from S";"";"";"2022-01-29";"";"1173868";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"BKT0170";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
